pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL	Number_of_nodes_update
Initial triggering of complement	R-HSA-166663	 Reactome	 hsapiens	119	3231	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-166663	22.0
Nucleotide Excision Repair	R-HSA-5696398	 Reactome	 hsapiens	119	4012	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5696398	111.0
Nonsense-Mediated Decay (NMD)	R-HSA-927802	 Reactome	 hsapiens	119	10895	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-927802	115.0
Toll Like Receptor 2 (TLR2) Cascade	R-HSA-181438	 Reactome	 hsapiens	118	1170	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-181438	101.0
Platelet homeostasis	R-HSA-418346	 Reactome	 hsapiens	117	924	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-418346	87.0
PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	R-HSA-6811558	 Reactome	 hsapiens	117	1584	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6811558	106.0
Respiratory electron transport	R-HSA-611105	 Reactome	 hsapiens	117	2606	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-611105	100.0
GTP hydrolysis and joining of the 60S ribosomal subunit	R-HSA-72706	 Reactome	 hsapiens	116	5482	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72706	112.0
Post-translational modification: synthesis of GPI-anchored proteins	R-HSA-163125	 Reactome	 hsapiens	115	467	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163125	92.0
Cargo recognition for clathrin-mediated endocytosis	R-HSA-8856825	 Reactome	 hsapiens	115	1327	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8856825	106.0
Stimuli-sensing channels	R-HSA-2672351	 Reactome	 hsapiens	114	743	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2672351	102.0
CLEC7A (Dectin-1) signaling	R-HSA-5607764	 Reactome	 hsapiens	114	1915	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5607764	101.0
Interleukin-4 and Interleukin-13 signaling	R-HSA-6785807	 Reactome	 hsapiens	113	235	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6785807	108.0
Degradation of the extracellular matrix	R-HSA-1474228	 Reactome	 hsapiens	113	322	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1474228	97.0
TP53 Regulates Metabolic Genes	R-HSA-5628897	 Reactome	 hsapiens	113	893	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5628897	86.0
SRP-dependent cotranslational protein targeting to membrane	R-HSA-1799339	 Reactome	 hsapiens	113	6181	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1799339	112.0
Resolution of Sister Chromatid Cohesion	R-HSA-2500257	 Reactome	 hsapiens	113	6374	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2500257	109.0
Opioid Signalling	R-HSA-111885	 Reactome	 hsapiens	112	1215	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111885	92.0
PI Metabolism	R-HSA-1483255	 Reactome	 hsapiens	112	1549	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483255	78.0
PI3K/AKT Signaling in Cancer	R-HSA-2219528	 Reactome	 hsapiens	111	599	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2219528	102.0
Synthesis of bile acids and bile salts	R-HSA-192105	 Reactome	 hsapiens	111	983	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-192105	27.0
HATs acetylate histones	R-HSA-3214847	 Reactome	 hsapiens	110	1034	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3214847	141.0
Telomere Maintenance	R-HSA-157579	 Reactome	 hsapiens	110	1928	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-157579	113.0
Post-translational protein phosphorylation	R-HSA-8957275	 Reactome	 hsapiens	109	744	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8957275	108.0
L1CAM interactions	R-HSA-373760	 Reactome	 hsapiens	109	772	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-373760	100.0
Signaling by TGFB family members	R-HSA-9006936	 Reactome	 hsapiens	109	977	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9006936	102.0
Gene Silencing by RNA	R-HSA-211000	 Reactome	 hsapiens	109	1567	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211000	133.0
Interleukin-1 signaling	R-HSA-9020702	 Reactome	 hsapiens	109	1905	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9020702	103.0
Mitochondrial biogenesis	R-HSA-1592230	 Reactome	 hsapiens	108	571	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1592230	95.0
p75 NTR receptor-mediated signalling	R-HSA-193704	 Reactome	 hsapiens	107	554	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-193704	96.0
TRIF(TICAM1)-mediated TLR4 signaling	R-HSA-937061	 Reactome	 hsapiens	107	1167	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-937061	99.0
Potassium Channels	R-HSA-1296071	 Reactome	 hsapiens	107	1348	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1296071	103.0
Hedgehog 'off' state	R-HSA-5610787	 Reactome	 hsapiens	107	1778	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5610787	89.0
Toll Like Receptor 9 (TLR9) Cascade	R-HSA-168138	 Reactome	 hsapiens	106	852	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168138	96.0
Regulation of insulin secretion	R-HSA-422356	 Reactome	 hsapiens	106	1016	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-422356	78.0
Mitochondrial Fatty Acid Beta-Oxidation	R-HSA-77289	 Reactome	 hsapiens	105	780	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-77289	26.0
Glycolysis	R-HSA-70171	 Reactome	 hsapiens	104	1073	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70171	71.0
Collagen formation	R-HSA-1474290	 Reactome	 hsapiens	104	2835	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1474290	90.0
Response of EIF2AK4 (GCN2) to amino acid deficiency	R-HSA-9633012	 Reactome	 hsapiens	104	4746	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9633012	101.0
Toll Like Receptor 7/8 (TLR7/8) Cascade	R-HSA-168181	 Reactome	 hsapiens	103	850	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168181	92.0
Transcriptional regulation by RUNX3	R-HSA-8878159	 Reactome	 hsapiens	103	1348	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8878159	96.0
RUNX1 regulates transcription of genes involved in differentiation of HSCs	R-HSA-8939236	 Reactome	 hsapiens	103	1972	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8939236	130.0
TNFR2 non-canonical NF-kB pathway	R-HSA-5668541	 Reactome	 hsapiens	103	2678	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5668541	102.0
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	R-HSA-983695	 Reactome	 hsapiens	103	3772	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983695	29.0
MyD88 dependent cascade initiated on endosome	R-HSA-975155	 Reactome	 hsapiens	102	844	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975155	92.0
Toll Like Receptor 3 (TLR3) Cascade	R-HSA-168164	 Reactome	 hsapiens	102	871	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168164	94.0
Oxidative Stress Induced Senescence	R-HSA-2559580	 Reactome	 hsapiens	102	1921	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2559580	125.0
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	R-HSA-975138	 Reactome	 hsapiens	101	794	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975138	91.0
Extra-nuclear estrogen signaling	R-HSA-9009391	 Reactome	 hsapiens	101	852	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9009391	75.0
EPH-Ephrin signaling	R-HSA-2682334	 Reactome	 hsapiens	101	998	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2682334	91.0
Antigen Presentation: Folding, assembly and peptide loading of class I MHC	R-HSA-983170	 Reactome	 hsapiens	101	2407	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983170	22.0
RAC3 GTPase cycle	R-HSA-9013423	 Reactome	 hsapiens	100	347	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9013423	94.0
SARS-CoV-2 Infection	R-HSA-9694516	 Reactome	 hsapiens	100	512	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9694516	29.0
Cellular response to heat stress	R-HSA-3371556	 Reactome	 hsapiens	100	2168	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3371556	89.0
Neurotransmitter release cycle	R-HSA-112310	 Reactome	 hsapiens	99	1359	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112310	50.0
PCP/CE pathway	R-HSA-4086400	 Reactome	 hsapiens	99	1426	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4086400	92.0
Anchoring of the basal body to the plasma membrane	R-HSA-5620912	 Reactome	 hsapiens	99	4902	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5620912	98.0
Mitochondrial translation	R-HSA-5368287	 Reactome	 hsapiens	99	7044	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5368287	92.0
UCH proteinases	R-HSA-5689603	 Reactome	 hsapiens	98	1551	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5689603	102.0
ABC transporter disorders	R-HSA-5619084	 Reactome	 hsapiens	98	1557	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5619084	68.0
Eukaryotic Translation Elongation	R-HSA-156842	 Reactome	 hsapiens	98	4642	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156842	92.0
Pyruvate metabolism and Citric Acid (TCA) cycle	R-HSA-71406	 Reactome	 hsapiens	97	1030	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71406	54.0
Costimulation by the CD28 family	R-HSA-388841	 Reactome	 hsapiens	97	1392	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-388841	69.0
Signaling by FGFR	R-HSA-190236	 Reactome	 hsapiens	97	2360	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-190236	87.0
Regulation of TP53 Activity through Phosphorylation	R-HSA-6804756	 Reactome	 hsapiens	95	975	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6804756	92.0
Unfolded Protein Response (UPR)	R-HSA-381119	 Reactome	 hsapiens	94	216	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381119	94.0
Sulfur amino acid metabolism	R-HSA-1614635	 Reactome	 hsapiens	94	441	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1614635	27.0
Toll Like Receptor 5 (TLR5) Cascade	R-HSA-168176	 Reactome	 hsapiens	94	767	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168176	85.0
MyD88 cascade initiated on plasma membrane	R-HSA-975871	 Reactome	 hsapiens	94	767	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975871	85.0
MAPK6/MAPK4 signaling	R-HSA-5687128	 Reactome	 hsapiens	94	1427	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5687128	89.0
Transcriptional regulation of white adipocyte differentiation	R-HSA-381340	 Reactome	 hsapiens	94	1696	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381340	84.0
Switching of origins to a post-replicative state	R-HSA-69052	 Reactome	 hsapiens	93	1765	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69052	91.0
Peptide chain elongation	R-HSA-156902	 Reactome	 hsapiens	93	4622	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156902	88.0
Mitochondrial translation initiation	R-HSA-5368286	 Reactome	 hsapiens	93	6037	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5368286	86.0
RAC2 GTPase cycle	R-HSA-9013404	 Reactome	 hsapiens	92	321	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9013404	88.0
Lipoprotein metabolism	R-HSA-174824	 Reactome	 hsapiens	92	573	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-174824	65.0
Global Genome Nucleotide Excision Repair (GG-NER)	R-HSA-5696399	 Reactome	 hsapiens	92	1891	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5696399	84.0
Meiosis	R-HSA-1500620	 Reactome	 hsapiens	92	2131	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1500620	118.0
Regulation of PLK1 Activity at G2/M Transition	R-HSA-2565942	 Reactome	 hsapiens	92	2917	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2565942	88.0
Activation of HOX genes during differentiation	R-HSA-5619507	 Reactome	 hsapiens	92	4792	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5619507	121.0
APC/C-mediated degradation of cell cycle proteins	R-HSA-174143	 Reactome	 hsapiens	92	5542	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-174143	88.0
Activation of NMDA receptors and postsynaptic events	R-HSA-442755	 Reactome	 hsapiens	91	1303	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-442755	75.0
Mitochondrial translation elongation	R-HSA-5389840	 Reactome	 hsapiens	91	4608	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5389840	87.0
Mitochondrial translation termination	R-HSA-5419276	 Reactome	 hsapiens	91	4697	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5419276	87.0
Peroxisomal lipid metabolism	R-HSA-390918	 Reactome	 hsapiens	90	377	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-390918	24.0
Inositol phosphate metabolism	R-HSA-1483249	 Reactome	 hsapiens	90	879	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483249	50.0
Signaling by Insulin receptor	R-HSA-74752	 Reactome	 hsapiens	90	942	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-74752	78.0
Pre-NOTCH Expression and Processing	R-HSA-1912422	 Reactome	 hsapiens	90	1155	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1912422	109.0
Antiviral mechanism by IFN-stimulated genes	R-HSA-1169410	 Reactome	 hsapiens	90	1240	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1169410	80.0
Regulation of mRNA stability by proteins that bind AU-rich elements	R-HSA-450531	 Reactome	 hsapiens	90	1265	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-450531	88.0
Downstream signaling events of B Cell Receptor (BCR)	R-HSA-1168372	 Reactome	 hsapiens	90	1614	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1168372	83.0
Processing of DNA double-strand break ends	R-HSA-5693607	 Reactome	 hsapiens	90	1890	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693607	98.0
Biosynthesis of DHA-derived SPMs	R-HSA-9018677	 Reactome	 hsapiens	89	487	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9018677	17.0
Metabolism of fat-soluble vitamins	R-HSA-6806667	 Reactome	 hsapiens	89	1164	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6806667	38.0
Cyclin A:Cdk2-associated events at S phase entry	R-HSA-69656	 Reactome	 hsapiens	89	1851	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69656	85.0
Oncogenic MAPK signaling	R-HSA-6802957	 Reactome	 hsapiens	89	3389	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6802957	82.0
SARS-CoV-1 Infection	R-HSA-9678108	 Reactome	 hsapiens	88	419	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9678108	21.0
DNA Replication Pre-Initiation	R-HSA-69002	 Reactome	 hsapiens	88	1751	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69002	85.0
COPI-dependent Golgi-to-ER retrograde traffic	R-HSA-6811434	 Reactome	 hsapiens	88	1842	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6811434	82.0
Heparan sulfate/heparin (HS-GAG) metabolism	R-HSA-1638091	 Reactome	 hsapiens	87	769	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1638091	53.0
RNA Polymerase I Transcription	R-HSA-73864	 Reactome	 hsapiens	87	1296	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73864	111.0
Cyclin E associated events during G1/S transition	R-HSA-69202	 Reactome	 hsapiens	87	1843	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69202	83.0
Glycosphingolipid metabolism	R-HSA-1660662	 Reactome	 hsapiens	86	381	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1660662	37.0
DDX58/IFIH1-mediated induction of interferon-alpha/beta	R-HSA-168928	 Reactome	 hsapiens	86	602	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168928	81.0
Nuclear Envelope (NE) Reassembly	R-HSA-2995410	 Reactome	 hsapiens	86	958	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2995410	73.0
RNA Polymerase I Promoter Clearance	R-HSA-73854	 Reactome	 hsapiens	86	1237	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73854	110.0
Hedgehog 'on' state	R-HSA-5632684	 Reactome	 hsapiens	86	2023	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5632684	84.0
Transport of Mature Transcript to Cytoplasm	R-HSA-72202	 Reactome	 hsapiens	86	4824	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72202	84.0
G alpha (12/13) signalling events	R-HSA-416482	 Reactome	 hsapiens	85	783	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-416482	80.0
Senescence-Associated Secretory Phenotype (SASP)	R-HSA-2559582	 Reactome	 hsapiens	85	1096	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2559582	112.0
Signaling by NOTCH4	R-HSA-9013694	 Reactome	 hsapiens	85	1253	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9013694	82.0
Degradation of beta-catenin by the destruction complex	R-HSA-195253	 Reactome	 hsapiens	85	2428	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-195253	83.0
Transcription-Coupled Nucleotide Excision Repair (TC-NER)	R-HSA-6781827	 Reactome	 hsapiens	85	3126	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6781827	79.0
Nicotinate metabolism	R-HSA-196807	 Reactome	 hsapiens	84	394	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-196807	27.0
Formation of the cornified envelope	R-HSA-6809371	 Reactome	 hsapiens	84	800	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6809371	71.0
Sensory processing of sound	R-HSA-9659379	 Reactome	 hsapiens	84	2065	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9659379	74.0
Regulation of APC/C activators between G1/S and early anaphase	R-HSA-176408	 Reactome	 hsapiens	83	1896	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-176408	81.0
Negative epigenetic regulation of rRNA expression	R-HSA-5250941	 Reactome	 hsapiens	83	2713	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5250941	108.0
Centrosome maturation	R-HSA-380287	 Reactome	 hsapiens	83	3566	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380287	82.0
Protein ubiquitination	R-HSA-8852135	 Reactome	 hsapiens	82	1300	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8852135	79.0
Circadian Clock	R-HSA-400253	 Reactome	 hsapiens	81	452	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-400253	70.0
Interconversion of nucleotide di- and triphosphates	R-HSA-499943	 Reactome	 hsapiens	81	1119	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-499943	26.0
G2/M DNA damage checkpoint	R-HSA-69473	 Reactome	 hsapiens	81	1473	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69473	95.0
Signaling by FGFR2	R-HSA-5654738	 Reactome	 hsapiens	81	1820	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654738	73.0
Cellular response to hypoxia	R-HSA-1234174	 Reactome	 hsapiens	81	2418	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1234174	75.0
Recruitment of mitotic centrosome proteins and complexes	R-HSA-380270	 Reactome	 hsapiens	81	3357	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380270	82.0
Transcription of the HIV genome	R-HSA-167172	 Reactome	 hsapiens	81	3999	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-167172	71.0
Cell death signalling via NRAGE, NRIF and NADE	R-HSA-204998	 Reactome	 hsapiens	80	385	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-204998	76.0
Sphingolipid de novo biosynthesis	R-HSA-1660661	 Reactome	 hsapiens	80	432	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1660661	41.0
ROS and RNS production in phagocytes	R-HSA-1222556	 Reactome	 hsapiens	80	748	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1222556	35.0
Signaling by TGF-beta Receptor Complex	R-HSA-170834	 Reactome	 hsapiens	80	757	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-170834	73.0
Metabolism of polyamines	R-HSA-351202	 Reactome	 hsapiens	80	1284	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-351202	58.0
Regulation of RUNX2 expression and activity	R-HSA-8939902	 Reactome	 hsapiens	80	1951	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8939902	73.0
RNA polymerase II transcribes snRNA genes	R-HSA-6807505	 Reactome	 hsapiens	80	4481	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6807505	74.0
Fatty acyl-CoA biosynthesis	R-HSA-75105	 Reactome	 hsapiens	79	459	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-75105	28.0
Iron uptake and transport	R-HSA-917937	 Reactome	 hsapiens	79	713	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-917937	57.0
Retinoid metabolism and transport	R-HSA-975634	 Reactome	 hsapiens	79	1144	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-975634	38.0
ISG15 antiviral mechanism	R-HSA-1169408	 Reactome	 hsapiens	79	1208	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1169408	72.0
Positive epigenetic regulation of rRNA expression	R-HSA-5250913	 Reactome	 hsapiens	79	2275	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5250913	106.0
Diseases associated with O-glycosylation of proteins	R-HSA-3906995	 Reactome	 hsapiens	78	132	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3906995	67.0
RHOG GTPase cycle	R-HSA-9013408	 Reactome	 hsapiens	78	221	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9013408	74.0
RHOC GTPase cycle	R-HSA-9013106	 Reactome	 hsapiens	78	260	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9013106	74.0
FOXO-mediated transcription	R-HSA-9614085	 Reactome	 hsapiens	78	264	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9614085	64.0
Diseases of programmed cell death	R-HSA-9645723	 Reactome	 hsapiens	78	754	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9645723	99.0
RHO GTPases activate PKNs	R-HSA-5625740	 Reactome	 hsapiens	78	1307	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5625740	95.0
Regulation of HSF1-mediated heat shock response	R-HSA-3371453	 Reactome	 hsapiens	78	2041	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3371453	69.0
Interleukin-17 signaling	R-HSA-448424	 Reactome	 hsapiens	77	496	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-448424	72.0
Cytosolic sensors of pathogen-associated DNA	R-HSA-1834949	 Reactome	 hsapiens	77	585	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1834949	63.0
Signaling by NOTCH1	R-HSA-1980143	 Reactome	 hsapiens	77	591	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1980143	74.0
SUMOylation of DNA damage response and repair proteins	R-HSA-3108214	 Reactome	 hsapiens	77	841	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3108214	77.0
Transcriptional regulation by small RNAs	R-HSA-5578749	 Reactome	 hsapiens	77	1432	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5578749	106.0
NoRC negatively regulates rRNA expression	R-HSA-427413	 Reactome	 hsapiens	77	2264	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-427413	105.0
COPII-mediated vesicle transport	R-HSA-204005	 Reactome	 hsapiens	77	2317	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-204005	68.0
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	R-HSA-176814	 Reactome	 hsapiens	77	3312	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-176814	77.0
Transport of Mature mRNA derived from an Intron-Containing Transcript	R-HSA-159236	 Reactome	 hsapiens	77	4454	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159236	75.0
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	R-HSA-193368	 Reactome	 hsapiens	76	492	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-193368	24.0
Collagen biosynthesis and modifying enzymes	R-HSA-1650814	 Reactome	 hsapiens	76	2725	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1650814	67.0
APC/C:Cdc20 mediated degradation of mitotic proteins	R-HSA-176409	 Reactome	 hsapiens	76	3261	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-176409	76.0
Signaling by MET	R-HSA-6806834	 Reactome	 hsapiens	75	594	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6806834	67.0
Ca2+ pathway	R-HSA-4086398	 Reactome	 hsapiens	75	700	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4086398	56.0
CDK-mediated phosphorylation and removal of Cdc6	R-HSA-69017	 Reactome	 hsapiens	75	1511	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69017	73.0
RHOB GTPase cycle	R-HSA-9013026	 Reactome	 hsapiens	74	267	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9013026	70.0
Gamma carboxylation, hypusine formation and arylsulfatase activation	R-HSA-163841	 Reactome	 hsapiens	74	309	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163841	39.0
