pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL
"""AKT-mediated inactivation of FOXO1A"" pathway"	R-HSA-211163	 Reactome	 hsapiens	 6	 12	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211163
"""Regulation of PAK-2p34 activity by PS-GAP/RHG10"" pathway"	R-HSA-211728	 Reactome	 hsapiens	 2	 1	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211728
"""Regulation of activated PAK-2p34 by proteasome mediated degradation"" pathway"	R-HSA-211733	 Reactome	 hsapiens	 50	 1223	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211733
"""Stimulation of the cell death response by PAK-2p34"" pathway"	R-HSA-211736	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211736
"""Biological oxidations"" pathway"	R-HSA-211859	 Reactome	 hsapiens	 544	 7191	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211859
"""Cytochrome P450 - arranged by substrate type"" pathway"	R-HSA-211897	 Reactome	 hsapiens	 184	 2429	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211897
"""Phase I - Functionalization of compounds"" pathway"	R-HSA-211945	 Reactome	 hsapiens	 297	 4155	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211945
"""Endogenous sterols"" pathway"	R-HSA-211976	 Reactome	 hsapiens	 70	 522	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211976
"""Xenobiotics"" pathway"	R-HSA-211981	 Reactome	 hsapiens	 73	 1076	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211981
"""Epigenetic regulation of gene expression"" pathway"	R-HSA-212165	 Reactome	 hsapiens	 134	 4483	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-212165
"""NOTCH1 Intracellular Domain Regulates Transcription"" pathway"	R-HSA-2122947	 Reactome	 hsapiens	 50	 308	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2122947
"""Activated NOTCH1 Transmits Signal to the Nucleus"" pathway"	R-HSA-2122948	 Reactome	 hsapiens	 32	 286	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2122948
"""PRC2 methylates histones and DNA"" pathway"	R-HSA-212300	 Reactome	 hsapiens	 44	 853	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-212300
"""Generic Transcription Pathway"" pathway"	R-HSA-212436	 Reactome	 hsapiens	 1273	 11778	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-212436
"""Dopamine Neurotransmitter Release Cycle"" pathway"	R-HSA-212676	 Reactome	 hsapiens	 28	 494	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-212676
"""EGFR interacts with phospholipase C-gamma"" pathway"	R-HSA-212718	 Reactome	 hsapiens	 11	 52	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-212718
"""Molecules associated with elastic fibres"" pathway"	R-HSA-2129379	 Reactome	 hsapiens	 24	 64	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2129379
"""MHC class II antigen presentation"" pathway"	R-HSA-2132295	 Reactome	 hsapiens	 126	 2786	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2132295
"""Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)"" pathway"	R-HSA-2142670	 Reactome	 hsapiens	 23	 137	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2142670
"""Synthesis of 5-eicosatetraenoic acids"" pathway"	R-HSA-2142688	 Reactome	 hsapiens	 24	 80	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2142688
"""Synthesis of Leukotrienes (LT) and Eoxins (EX)"" pathway"	R-HSA-2142691	 Reactome	 hsapiens	 52	 321	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2142691
"""Synthesis of Lipoxins (LX)"" pathway"	R-HSA-2142700	 Reactome	 hsapiens	 25	 108	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2142700
"""Synthesis of 12-eicosatetraenoic acid derivatives"" pathway"	R-HSA-2142712	 Reactome	 hsapiens	 19	 69	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2142712
"""Arachidonic acid metabolism"" pathway"	R-HSA-2142753	 Reactome	 hsapiens	 165	 1148	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2142753
"""Synthesis of 15-eicosatetraenoic acid derivatives"" pathway"	R-HSA-2142770	 Reactome	 hsapiens	 22	 82	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2142770
"""Ubiquinol biosynthesis"" pathway"	R-HSA-2142789	 Reactome	 hsapiens	 32	 132	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2142789
"""Hyaluronan metabolism"" pathway"	R-HSA-2142845	 Reactome	 hsapiens	 22	 49	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2142845
"""Transcriptional activation of mitochondrial biogenesis"" pathway"	R-HSA-2151201	 Reactome	 hsapiens	 68	 291	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2151201
"""Activation of PPARGC1A (PGC-1alpha) by phosphorylation"" pathway"	R-HSA-2151209	 Reactome	 hsapiens	 13	 50	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2151209
"""Integrin cell surface interactions"" pathway"	R-HSA-216083	 Reactome	 hsapiens	 67	 181	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-216083
"""Hyaluronan uptake and degradation"" pathway"	R-HSA-2160916	 Reactome	 hsapiens	 18	 45	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2160916
"""Abacavir transmembrane transport"" pathway"	R-HSA-2161517	 Reactome	 hsapiens	 10	 38	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2161517
"""Abacavir transport and metabolism"" pathway"	R-HSA-2161522	 Reactome	 hsapiens	 34	 109	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2161522
"""Abacavir metabolism"" pathway"	R-HSA-2161541	 Reactome	 hsapiens	 28	 69	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2161541
"""Synthesis of Prostaglandins (PG) and Thromboxanes (TX)"" pathway"	R-HSA-2162123	 Reactome	 hsapiens	 57	 214	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2162123
"""Scavenging of heme from plasma"" pathway"	R-HSA-2168880	 Reactome	 hsapiens	 106	 1888	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2168880
"""DAP12 interactions"" pathway"	R-HSA-2172127	 Reactome	 hsapiens	 51	 508	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2172127
"""Binding and Uptake of Ligands by Scavenger Receptors"" pathway"	R-HSA-2173782	 Reactome	 hsapiens	 164	 2075	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2173782
"""Downregulation of TGF-beta receptor signaling"" pathway"	R-HSA-2173788	 Reactome	 hsapiens	 28	 296	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2173788
"""TGF-beta receptor signaling activates SMADs"" pathway"	R-HSA-2173789	 Reactome	 hsapiens	 36	 357	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2173789
"""TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)"" pathway"	R-HSA-2173791	 Reactome	 hsapiens	 19	 150	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2173791
"""Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer"" pathway"	R-HSA-2173793	 Reactome	 hsapiens	 50	 290	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2173793
"""Downregulation of SMAD2/3:SMAD4 transcriptional activity"" pathway"	R-HSA-2173795	 Reactome	 hsapiens	 27	 174	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2173795
"""SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription"" pathway"	R-HSA-2173796	 Reactome	 hsapiens	 34	 132	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2173796
"""EGFR Transactivation by Gastrin"" pathway"	R-HSA-2179392	 Reactome	 hsapiens	 12	 47	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2179392
"""The retinoid cycle in cones (daylight vision)"" pathway"	R-HSA-2187335	 Reactome	 hsapiens	 20	 62	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2187335
"""Visual phototransduction"" pathway"	R-HSA-2187338	 Reactome	 hsapiens	 169	 1740	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2187338
"""NOTCH2 intracellular domain regulates transcription"" pathway"	R-HSA-2197563	 Reactome	 hsapiens	 12	 48	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2197563
"""Anchoring fibril formation"" pathway"	R-HSA-2214320	 Reactome	 hsapiens	 7	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2214320
"""PI3K/AKT Signaling in Cancer"" pathway"	R-HSA-2219528	 Reactome	 hsapiens	 111	 599	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2219528
"""Constitutive Signaling by Aberrant PI3K in Cancer"" pathway"	R-HSA-2219530	 Reactome	 hsapiens	 85	 492	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2219530
"""Crosslinking of collagen fibrils"" pathway"	R-HSA-2243919	 Reactome	 hsapiens	 16	 62	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2243919
"""Cellular responses to stress"" pathway"	R-HSA-2262752	 Reactome	 hsapiens	 698	 17937	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2262752
"""Condensation of Prophase Chromosomes"" pathway"	R-HSA-2299718	 Reactome	 hsapiens	 53	 1393	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2299718
"""Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"" pathway"	R-HSA-2404192	 Reactome	 hsapiens	 64	 600	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2404192
"""Metabolism of ingested SeMet, Sec, MeSec into H2Se"" pathway"	R-HSA-2408508	 Reactome	 hsapiens	 39	 144	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2408508
"""Selenoamino acid metabolism"" pathway"	R-HSA-2408522	 Reactome	 hsapiens	 176	 5596	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2408522
"""Metabolism of ingested H2SeO4 and H2SeO3 into H2Se"" pathway"	R-HSA-2408550	 Reactome	 hsapiens	 22	 83	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2408550
"""Selenocysteine synthesis"" pathway"	R-HSA-2408557	 Reactome	 hsapiens	 108	 5211	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2408557
"""DAP12 signaling"" pathway"	R-HSA-2424491	 Reactome	 hsapiens	 35	 484	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2424491
"""Activation of gene expression by SREBF (SREBP)"" pathway"	R-HSA-2426168	 Reactome	 hsapiens	 49	 293	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2426168
"""IGF1R signaling cascade"" pathway"	R-HSA-2428924	 Reactome	 hsapiens	 63	 595	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2428924
"""IRS-related events triggered by IGF1R"" pathway"	R-HSA-2428928	 Reactome	 hsapiens	 62	 579	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2428928
"""SHC-related events triggered by IGF1R"" pathway"	R-HSA-2428933	 Reactome	 hsapiens	 13	 52	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2428933
"""Retinoid cycle disease events"" pathway"	R-HSA-2453864	 Reactome	 hsapiens	 27	 37	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2453864
"""The canonical retinoid cycle in rods (twilight vision)"" pathway"	R-HSA-2453902	 Reactome	 hsapiens	 57	 254	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2453902
"""Fc epsilon receptor (FCERI) signaling"" pathway"	R-HSA-2454202	 Reactome	 hsapiens	 234	 6511	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2454202
"""MASTL Facilitates Mitotic Progression"" pathway"	R-HSA-2465910	 Reactome	 hsapiens	 12	 36	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2465910
"""Separation of Sister Chromatids"" pathway"	R-HSA-2467813	 Reactome	 hsapiens	 174	 7824	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2467813
"""Establishment of Sister Chromatid Cohesion"" pathway"	R-HSA-2468052	 Reactome	 hsapiens	 13	 72	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2468052
"""Cohesin Loading onto Chromatin"" pathway"	R-HSA-2470946	 Reactome	 hsapiens	 10	 44	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2470946
"""Antagonism of Activin by Follistatin"" pathway"	R-HSA-2473224	 Reactome	 hsapiens	 4	 5	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2473224
"""Diseases associated with visual transduction"" pathway"	R-HSA-2474795	 Reactome	 hsapiens	 27	 37	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2474795
"""Activation of the phototransduction cascade"" pathway"	R-HSA-2485179	 Reactome	 hsapiens	 20	 94	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2485179
"""Resolution of Sister Chromatid Cohesion"" pathway"	R-HSA-2500257	 Reactome	 hsapiens	 113	 6374	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2500257
"""Condensation of Prometaphase Chromosomes"" pathway"	R-HSA-2514853	 Reactome	 hsapiens	 15	 79	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2514853
"""The phototransduction cascade"" pathway"	R-HSA-2514856	 Reactome	 hsapiens	 59	 355	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2514856
"""Inactivation, recovery and regulation of the phototransduction cascade"" pathway"	R-HSA-2514859	 Reactome	 hsapiens	 54	 250	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2514859
"""Interaction With Cumulus Cells And The Zona Pellucida"" pathway"	R-HSA-2534343	 Reactome	 hsapiens	 12	 46	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2534343
"""Mitotic Metaphase and Anaphase"" pathway"	R-HSA-2555396	 Reactome	 hsapiens	 248	 8742	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2555396
"""Oxidative Stress Induced Senescence"" pathway"	R-HSA-2559580	 Reactome	 hsapiens	 102	 1921	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2559580
"""Senescence-Associated Secretory Phenotype (SASP)"" pathway"	R-HSA-2559582	 Reactome	 hsapiens	 85	 1096	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2559582
"""Cellular Senescence"" pathway"	R-HSA-2559583	 Reactome	 hsapiens	 176	 3482	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2559583
"""Formation of Senescence-Associated Heterochromatin Foci (SAHF)"" pathway"	R-HSA-2559584	 Reactome	 hsapiens	 16	 76	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2559584
"""Oncogene Induced Senescence"" pathway"	R-HSA-2559585	 Reactome	 hsapiens	 36	 212	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2559585
"""DNA Damage/Telomere Stress Induced Senescence"" pathway"	R-HSA-2559586	 Reactome	 hsapiens	 65	 704	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2559586
"""TRIF-mediated programmed cell death"" pathway"	R-HSA-2562578	 Reactome	 hsapiens	 10	 79	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2562578
"""Cytosolic iron-sulfur cluster assembly"" pathway"	R-HSA-2564830	 Reactome	 hsapiens	 23	 140	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2564830
"""Regulation of PLK1 Activity at G2/M Transition"" pathway"	R-HSA-2565942	 Reactome	 hsapiens	 92	 2917	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2565942
"""Signaling by Leptin"" pathway"	R-HSA-2586552	 Reactome	 hsapiens	 13	 75	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2586552
"""Signaling by NOTCH1 PEST Domain Mutants in Cancer"" pathway"	R-HSA-2644602	 Reactome	 hsapiens	 61	 405	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2644602
"""Signaling by NOTCH1 in Cancer"" pathway"	R-HSA-2644603	 Reactome	 hsapiens	 61	 456	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2644603
"""FBXW7 Mutants and NOTCH1 in Cancer"" pathway"	R-HSA-2644605	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2644605
"""Constitutive Signaling by NOTCH1 PEST Domain Mutants"" pathway"	R-HSA-2644606	 Reactome	 hsapiens	 61	 405	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2644606
"""Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"" pathway"	R-HSA-2644607	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2644607
"""Acetylcholine Neurotransmitter Release Cycle"" pathway"	R-HSA-264642	 Reactome	 hsapiens	 26	 242	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-264642
"""Caspase-mediated cleavage of cytoskeletal proteins"" pathway"	R-HSA-264870	 Reactome	 hsapiens	 12	 12	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-264870
"""Insulin processing"" pathway"	R-HSA-264876	 Reactome	 hsapiens	 30	 95	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-264876
"""Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"" pathway"	R-HSA-2660825	 Reactome	 hsapiens	 4	 8	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2660825
"""Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"" pathway"	R-HSA-2660826	 Reactome	 hsapiens	 4	 8	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2660826
"""Stimuli-sensing channels"" pathway"	R-HSA-2672351	 Reactome	 hsapiens	 114	 743	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2672351
"""EPH-Ephrin signaling"" pathway"	R-HSA-2682334	 Reactome	 hsapiens	 101	 998	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2682334
"""Signaling by NOTCH1 HD Domain Mutants in Cancer"" pathway"	R-HSA-2691230	 Reactome	 hsapiens	 16	 132	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2691230
"""Constitutive Signaling by NOTCH1 HD Domain Mutants"" pathway"	R-HSA-2691232	 Reactome	 hsapiens	 16	 132	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2691232
"""Role of LAT2/NTAL/LAB on calcium mobilization"" pathway"	R-HSA-2730905	 Reactome	 hsapiens	 104	 2549	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2730905
"""Ficolins bind to repetitive carbohydrate structures on the target cell surface"" pathway"	R-HSA-2855086	 Reactome	 hsapiens	 12	 39	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2855086
"""FCERI mediated MAPK activation"" pathway"	R-HSA-2871796	 Reactome	 hsapiens	 120	 3083	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2871796
"""FCERI mediated Ca+2 mobilization"" pathway"	R-HSA-2871809	 Reactome	 hsapiens	 126	 3696	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2871809
"""FCERI mediated NF-kB activation"" pathway"	R-HSA-2871837	 Reactome	 hsapiens	 172	 3428	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2871837
"""POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation"" pathway"	R-HSA-2892245	 Reactome	 hsapiens	 3	 3	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2892245
"""POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation"" pathway"	R-HSA-2892247	 Reactome	 hsapiens	 13	 29	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2892247
"""Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer"" pathway"	R-HSA-2894858	 Reactome	 hsapiens	 61	 432	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2894858
"""Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"" pathway"	R-HSA-2894862	 Reactome	 hsapiens	 61	 432	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2894862
"""NOTCH2 Activation and Transmission of Signal to the Nucleus"" pathway"	R-HSA-2979096	 Reactome	 hsapiens	 23	 135	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2979096
"""Peptide hormone metabolism"" pathway"	R-HSA-2980736	 Reactome	 hsapiens	 122	 383	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2980736
"""Nuclear Envelope Breakdown"" pathway"	R-HSA-2980766	 Reactome	 hsapiens	 60	 856	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2980766
"""Activation of NIMA Kinases NEK9, NEK6, NEK7"" pathway"	R-HSA-2980767	 Reactome	 hsapiens	 9	 29	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2980767
"""SUMOylation"" pathway"	R-HSA-2990846	 Reactome	 hsapiens	 187	 1954	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2990846
"""Initiation of Nuclear Envelope (NE) Reformation"" pathway"	R-HSA-2995383	 Reactome	 hsapiens	 26	 65	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2995383
"""Nuclear Envelope (NE) Reassembly"" pathway"	R-HSA-2995410	 Reactome	 hsapiens	 86	 958	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2995410
"""Laminin interactions"" pathway"	R-HSA-3000157	 Reactome	 hsapiens	 24	 132	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3000157
"""Syndecan interactions"" pathway"	R-HSA-3000170	 Reactome	 hsapiens	 22	 31	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3000170
"""Non-integrin membrane-ECM interactions"" pathway"	R-HSA-3000171	 Reactome	 hsapiens	 42	 96	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3000171
"""ECM proteoglycans"" pathway"	R-HSA-3000178	 Reactome	 hsapiens	 57	 106	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3000178
"""Scavenging by Class B Receptors"" pathway"	R-HSA-3000471	 Reactome	 hsapiens	 20	 68	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3000471
"""Scavenging by Class A Receptors"" pathway"	R-HSA-3000480	 Reactome	 hsapiens	 46	 124	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3000480
"""Scavenging by Class F Receptors"" pathway"	R-HSA-3000484	 Reactome	 hsapiens	 16	 51	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3000484
"""Scavenging by Class H Receptors"" pathway"	R-HSA-3000497	 Reactome	 hsapiens	 15	 34	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3000497
"""SUMO is conjugated to E1 (UBA2:SAE1)"" pathway"	R-HSA-3065676	 Reactome	 hsapiens	 8	 36	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3065676
"""SUMO is transferred from E1 to E2 (UBE2I, UBC9)"" pathway"	R-HSA-3065678	 Reactome	 hsapiens	 7	 22	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3065678
"""SUMO is proteolytically processed"" pathway"	R-HSA-3065679	 Reactome	 hsapiens	 6	 9	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3065679
"""SUMOylation of DNA damage response and repair proteins"" pathway"	R-HSA-3108214	 Reactome	 hsapiens	 77	 841	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3108214
"""SUMO E3 ligases SUMOylate target proteins"" pathway"	R-HSA-3108232	 Reactome	 hsapiens	 178	 1903	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3108232
"""DEx/H-box helicases activate type I IFN and inflammatory cytokines production"" pathway"	R-HSA-3134963	 Reactome	 hsapiens	 7	 20	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3134963
"""LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production"" pathway"	R-HSA-3134973	 Reactome	 hsapiens	 7	 11	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3134973
"""Regulation of innate immune responses to cytosolic DNA"" pathway"	R-HSA-3134975	 Reactome	 hsapiens	 21	 152	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3134975
"""HDACs deacetylate histones"" pathway"	R-HSA-3214815	 Reactome	 hsapiens	 63	 2146	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3214815
"""PKMTs methylate histone lysines"" pathway"	R-HSA-3214841	 Reactome	 hsapiens	 49	 237	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3214841
"""HDMs demethylate histones"" pathway"	R-HSA-3214842	 Reactome	 hsapiens	 31	 177	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3214842
"""HATs acetylate histones"" pathway"	R-HSA-3214847	 Reactome	 hsapiens	 110	 1034	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3214847
"""RMTs methylate histone arginines"" pathway"	R-HSA-3214858	 Reactome	 hsapiens	 53	 397	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3214858
"""Processing and activation of SUMO"" pathway"	R-HSA-3215018	 Reactome	 hsapiens	 13	 54	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3215018
"""Glycogen storage diseases"" pathway"	R-HSA-3229121	 Reactome	 hsapiens	 22	 45	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3229121
"""SUMOylation of transcription factors"" pathway"	R-HSA-3232118	 Reactome	 hsapiens	 20	 58	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3232118
"""SUMOylation of ubiquitinylation proteins"" pathway"	R-HSA-3232142	 Reactome	 hsapiens	 39	 542	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3232142
"""WNT ligand biogenesis and trafficking"" pathway"	R-HSA-3238698	 Reactome	 hsapiens	 28	 127	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3238698
"""Chromatin modifying enzymes"" pathway"	R-HSA-3247509	 Reactome	 hsapiens	 256	 4024	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3247509
"""STAT6-mediated induction of chemokines"" pathway"	R-HSA-3249367	 Reactome	 hsapiens	 5	 20	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3249367
